
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
 306 12 2019    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00     0.2    0.00
 306 24 2019    0.00    0.00    0.00    1.28    0.00    0.00    0.00    0.00   -1.28    0.00    0.00    0.00     1.5    0.00
 307 12 2019    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00     1.7    0.00
 307 24 2019    0.00    0.00    0.00    0.81    0.00    0.00    0.00    0.00   -0.81    0.00    0.00    0.00     2.5   -0.00
 308 12 2019    0.00    0.00    0.00    0.18    0.00    0.00    0.00    0.00   -0.18    0.00    0.00    0.00     2.7    0.00
 308 24 2019    0.00    0.00    0.00    0.72    0.00    0.00    0.00    0.00   -0.72    0.00    0.00    0.00     3.4    0.00
 309 12 2019    0.00    0.00    0.00    0.20    0.00    0.00    0.00    0.00   -0.21    0.00    0.00    0.00     3.6    0.00
 309 24 2019    0.00    0.00    0.00    0.84    0.00    0.00    0.00    0.00   -0.84    0.00    0.00    0.00     4.5   -0.00
 310 12 2019    0.00    0.00    0.00    0.28    0.00    0.00    0.00    0.00   -0.28    0.00    0.00    0.00     4.8    0.00
 310 24 2019    0.00    0.00    0.00    0.80    0.00    0.00    0.00    0.00   -0.80    0.00    0.00    0.00     5.6   -0.00
 311 12 2019    0.00    0.00    0.00    0.26    0.00    0.00    0.00    0.00   -0.26    0.00    0.00    0.00     5.8    0.00
 311 24 2019    0.00    0.00    0.00    0.64    0.00    0.00    0.00    0.00   -0.64    0.00    0.00    0.00     6.5    0.00
 312 12 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00     6.6   -0.00
 312 24 2019    0.00    0.00    0.00    0.34    0.00    0.00    0.00    0.00   -0.34    0.00    0.00    0.00     7.0    0.00
 313 12 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00     7.1    0.00
 313 24 2019    0.00    0.00    0.00    0.32    0.00    0.00    0.00    0.00   -0.32    0.00    0.00    0.00     7.4   -0.00
 314 12 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00     7.6    0.00
 314 24 2019    0.00    0.00    0.00    0.38    0.00    0.00    0.00    0.00   -0.38    0.00    0.00    0.00     8.0    0.00
 315 12 2019    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00     8.0   -0.00
 315 24 2019    0.00    0.00    0.00    0.24    0.00    0.00    0.00    0.00   -0.24    0.00    0.00    0.00     8.2    0.00
 316 12 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00     8.3   -0.00
 316 24 2019    0.00    0.00    0.00    0.30    0.00    0.00    0.00    0.00   -0.30    0.00    0.00    0.00     8.6   -0.00
 317 12 2019    0.00    0.00    0.00    0.18    0.00    0.00    0.00    0.00   -0.18    0.00    0.00    0.00     8.8   -0.00
 317 24 2019    0.00    0.00    0.00    0.39    0.00    0.00    0.00    0.00   -0.39    0.00    0.00    0.00     9.2    0.00
 318 12 2019    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00     9.3   -0.00
 318 24 2019    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00   -0.33    0.00    0.00    0.00     9.6   -0.00
 319 12 2019    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10    0.00    0.00    0.00     9.7    0.00
 319 24 2019    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   -0.25    0.00    0.00    0.00    10.0   -0.00
 320 12 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    10.0   -0.00
 320 24 2019    0.00    0.00    0.00    0.24    0.00    0.00    0.00    0.00   -0.24    0.00    0.00    0.00    10.3    0.00
 321 12 2019    0.00    0.00    0.00    0.26    0.00    0.00    0.00    0.00   -0.26    0.00    0.00    0.00    10.6    0.00
 321 24 2019    0.00    0.00    0.00    0.35    0.00    0.00    0.00    0.00   -0.35    0.00    0.00    0.00    10.9    0.00
 322 12 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    10.9   -0.00
 322 24 2019    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03    0.00    0.00    0.00    10.9    0.00
 323 12 2019    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00    11.2   -0.00
 323 24 2019    0.00    0.00    0.00    0.28    0.00    0.00    0.00    0.00   -0.28    0.00    0.00    0.00    11.5    0.00
 324 12 2019    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10    0.00    0.00    0.00    11.5   -0.00
 324 24 2019    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00   -0.33    0.00    0.00    0.00    11.9   -0.00
 325 12 2019    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07    0.00    0.00    0.00    12.0   -0.00
 325 24 2019    0.00    0.00    0.00    0.19    0.00    0.00    0.00    0.00   -0.19    0.00    0.00    0.00    12.1   -0.00
 326 12 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    12.2   -0.00
 326 24 2019    0.00    0.00    0.00    0.26    0.00    0.00    0.00    0.00   -0.26    0.00    0.00    0.00    12.5    0.00
 327 12 2019    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09    0.00    0.00    0.00    12.6   -0.00
 327 24 2019    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    12.8    0.00
 328 12 2019    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10    0.00    0.00    0.00    12.9    0.00
 328 24 2019    0.00    0.00    0.00    0.28    0.00    0.00    0.00    0.00   -0.28    0.00    0.00    0.00    13.1   -0.00
 329 12 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    13.2    0.00
 329 24 2019    0.00    0.00    0.00    0.11    0.00    0.00    0.00    0.00   -0.11    0.00    0.00    0.00    13.3   -0.00
 330 12 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    13.3   -0.00
 330 24 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    13.4   -0.00
 331 12 2019    0.00    0.00    0.00   -0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    13.4    0.00
 331 24 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    13.5    0.00
 332 12 2019    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00    13.6   -0.00
 332 24 2019    0.00    0.00    0.00    0.30    0.00    0.00    0.00    0.00   -0.30    0.00    0.00    0.00    13.9    0.00
 333 12 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    14.0    0.00
 333 24 2019    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14    0.00    0.00    0.00    14.1   -0.00
 334 12 2019    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03    0.00    0.00    0.00    14.1    0.00
 334 24 2019    0.00    0.00    0.00    0.20    0.00    0.00    0.00    0.00   -0.20    0.00    0.00    0.00    14.3    0.00
 335 12 2019    0.00    0.00    0.00    0.16    0.00    0.00    0.00    0.00   -0.16    0.00    0.00    0.00    14.5   -0.00
 335 24 2019    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   -0.25    0.00    0.00    0.00    14.7    0.00
 336 12 2019    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    0.00    0.02    0.00    0.00    0.00    14.7   -0.00
 336 24 2019    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10    0.00    0.00    0.00    14.8   -0.00
 337 12 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    14.8    0.00
 337 24 2019    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    15.0    0.00
 338 12 2019    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    0.00    0.05    0.00    0.00    0.00    15.0   -0.00
 338 24 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    15.1    0.00
 339 12 2019    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    15.2    0.00
 339 24 2019    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15    0.00    0.00    0.00    15.3   -0.00
 340 12 2019    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   -0.00    0.00    0.00    0.00    15.3    0.00
 340 24 2019    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    15.4    0.00
 341 12 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    15.4    0.00
 341 24 2019    0.00    0.00    0.00    0.18    0.00    0.00    0.00    0.00   -0.18    0.00    0.00    0.00    15.6   -0.00
 342 12 2019    0.00    0.00    0.00   -0.01    0.00    0.00    0.00    0.00    0.01    0.00    0.00    0.00    15.6    0.00
