
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
 306 12 2019    0.00    0.00    0.00    0.41    0.00    0.00    0.00    0.00   -0.41    0.00    0.00    0.00     0.4    0.00
 306 24 2019    0.00    0.00    0.00    1.32    0.00    0.00    0.00    0.00   -1.32    0.00    0.00    0.00     1.7    0.00
 307 12 2019    0.00    0.00    0.00    0.26    0.00    0.00    0.00    0.00   -0.26    0.00    0.00    0.00     2.0    0.00
 307 24 2019    0.00    0.00    0.00    0.78    0.00    0.00    0.00    0.00   -0.78    0.00    0.00    0.00     2.8    0.00
 308 12 2019    0.00    0.00    0.00    0.23    0.00    0.00    0.00    0.00   -0.23    0.00    0.00    0.00     3.0    0.00
 308 24 2019    0.00    0.00    0.00    0.72    0.00    0.00    0.00    0.00   -0.72    0.00    0.00    0.00     3.7    0.00
 309 12 2019    0.00    0.00    0.00    0.26    0.00    0.00    0.00    0.00   -0.26    0.00    0.00    0.00     4.0    0.00
 309 24 2019    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   -1.01    0.00    0.00    0.00     5.0    0.00
 310 12 2019    0.00    0.00    0.00    0.41    0.00    0.00    0.00    0.00   -0.41    0.00    0.00    0.00     5.4   -0.00
 310 24 2019    0.00    0.00    0.00    1.53    0.00    0.00    0.00    0.00   -1.53    0.00    0.00    0.00     6.9   -0.00
 311 12 2019    0.00    0.00    0.00    0.88    0.00    0.00    0.00    0.00   -0.88    0.00    0.00    0.00     7.8   -0.00
 311 24 2019    0.00    0.00    0.00    1.55    0.00    0.00    0.00    0.00   -1.55    0.00    0.00    0.00     9.4   -0.00
 312 12 2019    0.00    0.00    0.00    0.34    0.00    0.00    0.00    0.00   -0.34    0.00    0.00    0.00     9.7   -0.00
 312 24 2019    0.00    0.00    0.00    0.56    0.00    0.00    0.00    0.00   -0.56    0.00    0.00    0.00    10.3   -0.00
 313 12 2019    0.00    0.00    0.00    0.27    0.00    0.00    0.00    0.00   -0.27    0.00    0.00    0.00    10.5   -0.00
 313 24 2019    0.00    0.00    0.00    0.46    0.00    0.00    0.00    0.00   -0.46    0.00    0.00    0.00    11.0    0.00
 314 12 2019    0.00    0.00    0.00    0.29    0.00    0.00    0.00    0.00   -0.29    0.00    0.00    0.00    11.3   -0.00
 314 24 2019    0.00    0.00    0.00    0.58    0.00    0.00    0.00    0.00   -0.58    0.00    0.00    0.00    11.9    0.00
 315 12 2019    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14    0.00    0.00    0.00    12.0    0.00
 315 24 2019    0.00    0.00    0.00    0.36    0.00    0.00    0.00    0.00   -0.36    0.00    0.00    0.00    12.4    0.00
 316 12 2019    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00    12.5    0.00
 316 24 2019    0.00    0.00    0.00    0.46    0.00    0.00    0.00    0.00   -0.46    0.00    0.00    0.00    12.9    0.00
 317 12 2019    0.00    0.00    0.00    0.39    0.00    0.00    0.00    0.00   -0.39    0.00    0.00    0.00    13.3    0.00
 317 24 2019    0.00    0.00    0.00    0.62    0.00    0.00    0.00    0.00   -0.62    0.00    0.00    0.00    13.9    0.00
 318 12 2019    0.00    0.00    0.00    0.22    0.00    0.00    0.00    0.00   -0.22    0.00    0.00    0.00    14.2   -0.00
 318 24 2019    0.00    0.00    0.00    0.59    0.00    0.00    0.00    0.00   -0.59    0.00    0.00    0.00    14.8   -0.00
 319 12 2019    0.00    0.00    0.00    0.21    0.00    0.00    0.00    0.00   -0.21    0.00    0.00    0.00    15.0    0.00
 319 24 2019    0.00    0.00    0.00    0.44    0.00    0.00    0.00    0.00   -0.44    0.00    0.00    0.00    15.4   -0.00
 320 12 2019    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12    0.00    0.00    0.00    15.5   -0.00
 320 24 2019    0.00    0.00    0.00    0.41    0.00    0.00    0.00    0.00   -0.41    0.00    0.00    0.00    15.9   -0.00
 321 12 2019    0.00    0.00    0.00    0.69    0.00    0.00    0.00    0.00   -0.69    0.00    0.00    0.00    16.6   -0.00
 321 24 2019    0.00    0.00    0.00    0.70    0.00    0.00    0.00    0.00   -0.70    0.00    0.00    0.00    17.3   -0.00
 322 12 2019    0.00    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01    0.00    0.00    0.00    17.3   -0.00
 322 24 2019    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    17.4   -0.00
 323 12 2019    0.00    0.00    0.00    0.58    0.00    0.00    0.00    0.00   -0.58    0.00    0.00    0.00    17.9   -0.00
 323 24 2019    0.00    0.00    0.00    0.54    0.00    0.00    0.00    0.00   -0.54    0.00    0.00    0.00    18.5    0.00
 324 12 2019    0.00    0.00    0.00    0.32    0.00    0.00    0.00    0.00   -0.32    0.00    0.00    0.00    18.8    0.00
 324 24 2019    0.00    0.00    0.00    0.81    0.00    0.00    0.00    0.00   -0.81    0.00    0.00    0.00    19.6   -0.00
 325 12 2019    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17    0.00    0.00    0.00    19.8   -0.00
 325 24 2019    0.00    0.00    0.00    0.44    0.00    0.00    0.00    0.00   -0.44    0.00    0.00    0.00    20.2   -0.00
 326 12 2019    0.00    0.00    0.00    0.28    0.00    0.00    0.00    0.00   -0.28    0.00    0.00    0.00    20.5    0.00
 326 24 2019    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   -0.50    0.00    0.00    0.00    21.0   -0.00
 327 12 2019    0.00    0.00    0.00    0.20    0.00    0.00    0.00    0.00   -0.20    0.00    0.00    0.00    21.2   -0.00
